"screenName","Repeated"
"ArtisMentis",5
"askus1930",5
"aswalrus",5
"atheism_nogods",5
"atrzy",5
"AuntieDote",5
"b_anthony97",5
"babababelina",5
"babblingboo",5
"babycake0608",5
"Bagged_Milk_",5
"BaileyBsearle6",5
"bannerite",5
"bbooplally",5
"Be_RealDeal",5
"BeastiesMemorie",5
"Beau2Blaze",5
"becca_sloan",5
"BelwalAshutosh",5
"BiasedGirl",5
"BigMAKenzie33",5
"billymurphyrma",5
"bklynluv04",5
"blackcanxry",5
"Blanknewt2",5
"blueirisv26",5
"bluperfetto",5
"bonchette",5
"bones_crazyy447",5
"Bonnie1776",5
"BonzaGames",5
"BoylanChemistry",5
"BreatheInUK",5
"breathingstops",5
"breebspeace",5
"Brendancaver",5
"BuffyQuotes25",5
"bufordtown",5
"ByTor67",5
"CalvinMuhammad1",5
"Canine_Rights",5
"capncmoney",5
"Caren329",5
"CarlaCeaUribe",5
"carolann8392",5
"carolelizajane",5
"Caroline2TO",5
"Cassie2122",5
"CedeemGumbs",5
"CellChemBiol",5
"ChaosMunchie",5
"ChasingCasey_",5
"cheezwitham",5
"Chellemariak",5
"chelseaboots",5
"chem_RXN_iam",5
"Chemical_Agony",5
"chemical_coach",5
"Chemical_Lucy",5
"Chemistry_A2",5
"chemistrypoet",5
"chicette20",5
"ChrisDenvergi",5
"chrisjhorn",5
"ChristaGames",5
"christinalynnn_",5
"ChristinaSoleil",5
"chronicleflask",5
"Chucktrag",5
"CieloChulacielo",5
"clarkgrffin",5
"clottieec",5
"cmeader",5
"codenameRD",5
"collcollll",5
"Conde_Maca",5
"conorreid",5
"conorstewart3",5
"CosmicJetBlack",5
"courtney_simply",5
"crazygaming1202",5
"crimsonscholar",5
"Crossy_13",5
"DaEntrepreneuer",5
"daftpounks",5
"dance_with_chem",5
"deelashaun",5
"defendressofsan",5
"DezmondGaming",5
"dgct2",5
"dolores1404",5
"DonnaPhilips3",5
"DrChemGeek",5
"DrJ_WasTaken",5
"dtjolsen",5
"DylanDrewDee",5
"EczemaCompany",5
"elbeachboy",5
"Elite365Radio",5
"elizabethdudas",5
"ElizaKatharine5",5
"EmilySilver29",5
"Emochik77",5
"en1am",5
"ericscerri",5
"escorach",5
"escott1028",5
"EvextCoD",5
"Expertoenlinea",5
"fan_updates_",5
"FangirlLizQuen",5
"fara_18",5
"fgrant624",5
"Flying_Rabbits3",5
"foxchase73",5
"FPelechara1",5
"free2moveon",5
"freesmims",5
"FullImpact365",5
"fxckitsryanz",5
"gigiekk",5
"girlcapitolvt",5
"glamourgirlca",5
"glycoaa",5
"gmopundit",5
"goindownsinging",5
"Gold_Flame_123",5
"GonzalezBello_C",5
"GPL_",5
"grayt5",5
"GreekVikingX",5
"greenbergae",5
"greenvideos",5
"Grracy",5
"Gumburza",5
"Gymaholic92",5
"H4RRYtL0UISx_O",5
"hafiqmatisa1",5
"HamoodSalbq8",5
"HannahSchutzler",5
"harbinger0d",5
"harryphil4",5
"Haylijahlover",5
"hazeuhl",5
"HdezBk",5
"HighwayRock365",5
"HWoodape",5
"i_lovespoby",5
"Iamalkris",5
"IAMKELLYBROOK",5
"iAmourCashmier",5
"IBchemmilam",5
"imbobby914",5
"imShahzana",5
"indigo_vine",5
"iStanForKlaus",5
"itssamthomas12",5
"IUAndrew",5
"J_Palacios22",5
"Jackbabeess",5
"jackstevens365",5
"JanvierNoir",5
"JaredAKF",5
"javaiamarly",5
"jeangel29",5
"jedipadmaster",5
"jefte1979",5
"JensenLee1",5
"JimBlackMax",5
"jlawadvocate",5
